TotalPili,bootMean,bootMedian,IC_mean,IC_median
0.0,31934.286454545454,32072.5,[29690.64914773 34277.384375  ],[29229.5625 34224.475 ]
1.0,36381.797296296296,35347.0,[31932.66296296 40811.0537037 ],[32712. 39592.]
2.0,39203.951043478264,40504.0,[34500.78043478 43688.78478261],[33357. 42914.]
3.0,42853.749,45887.0,[34846.103125 50373.175   ],[35372. 51755.]
4.0,52334.880875,49571.0,[46650.9828125 57882.6484375],[44904. 61137.]
5.0,49194.256,49117.0,[43994.765625 54273.296875],[40198. 57650.]
6.0,43021.63871428571,44085.0,[36640.14285714 49957.96071429],[33464. 46011.]
7.0,0.0,0.0,[0. 0.],[0. 0.]
8.0,56871.880333333334,57963.0,[54056. 58589.],[54056. 58589.]
9.0,40821.0,40821.0,[40821. 40821.],[40821. 40821.]
10.0,50399.0,50399.0,[50399. 50399.],[50399. 50399.]
