 ,Label,Track_ID,BiologicalReplicate,PaqaArea,PaqaMean,PaqaTotalFluorescence,PaqaMin,PaqaMax,PaqaStd,rfpArea,rfpMean,rfpTotalFluorescence,rfpMin,rfpMax,rfpStd,PaQa_RFP_ratio,Strain,Reporter,TimePoint,TeckRep
1,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,0,1,59.78375,29.814490000000003,1782.4219600000001,9,55,7.85933,46.68625,13.624429999999998,636.0737799999999,2,31,5.584569999999999,2.8022299999999998,pilH-fliC-,PaQa,2,1
2,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,1,1,8.23875,1228.29487,10119.61488,517,3153,669.66737,9.40063,102.8764,967.10255,31,259,62.38094,10.46385,pilH-fliC-,PaQa,2,1
3,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,2,1,15.94938,1308.76821,20874.03604,166,8851,1194.39976,12.46375,95.40678,1189.1263099999999,16,216,55.1336,17.55409,pilH-fliC-,PaQa,2,1
4,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,6,1,12.46375,2019.47458,25170.22751,552,7299,1382.80765,12.56938,137.67227,1730.4544600000002,32,498,103.69227,14.54544,pilH-fliC-,PaQa,2,1
5,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,9,1,10.45688,1308.92929,13687.31068,225,3348,934.1754900000001,8.76688,158.21687,1387.06757,12,367,103.88538,9.8678,pilH-fliC-,PaQa,2,1
6,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,10,1,15.6325,1506.30405,23547.2993,273,3436,974.69441,12.99188,141.4065,1837.13572,29,303,82.59419,12.8174,pilH-fliC-,PaQa,2,1
7,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,11,1,12.2525,1643.87931,20141.63226,331,4222,1155.39972,10.66813,147.9802,1578.6713300000001,22,351,96.49228000000001,12.7586,pilH-fliC-,PaQa,2,1
8,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,12,1,9.92875,311.82979,3096.08015,41,1512,224.83995,8.66125,69.26829000000001,599.95003,13,156,37.816340000000004,5.16056,pilH-fliC-,PaQa,2,1
9,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,13,1,13.0975,1654.58871,21670.97671,256,4109,1116.87409,11.83,177.40178999999998,2098.66323,20,429,111.4425,10.326089999999999,pilH-fliC-,PaQa,2,1
10,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,14,1,47.95375,28.49339,1366.3650699999998,5,59,8.129669999999999,34.01125,12.57143,427.57002,1,31,5.48883,3.19565,pilH-fliC-,PaQa,2,1
11,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,15,1,17.3225,1844.89024,31958.11285,408,4179,1143.84287,16.26625,188.02597,3058.47765,28,417,118.8259,10.44903,pilH-fliC-,PaQa,2,1
12,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,20,1,13.9425,1512.07576,21082.1173,325,3796,1045.36751,12.14688,147.73913000000002,1794.56884,29,348,96.96347,11.74773,pilH-fliC-,PaQa,2,1
13,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,25,1,9.295,1179.55682,10963.981170000001,368,4443,855.4372,21.230629999999998,175.41294,3724.12644,14,639,124.7177,2.94404,pilH-fliC-,PaQa,2,1
14,pilH-fliC-_PaQa_2h.nd2 - C=2.tif,28,1,8.45,989.2375,8359.05729,394,2278,360.75411,8.76688,99.14458,869.1881699999999,38,250,42.99749,9.61709,pilH-fliC-,PaQa,2,1
